N,case,insert_seconds,search_seconds,delete_seconds
500,already_sorted,9.86125E-4,1.38417E-4,1.77666E-4
500,shuffled,2.68792E-4,6.1958E-5,1.09916E-4
500,reversed,1.94333E-4,3.95E-5,4.1375E-5
1000,already_sorted,0.001453541,1.565E-4,2.2125E-4
1000,shuffled,3.97458E-4,8.1708E-5,8.1E-5
1000,reversed,3.85875E-4,7.0583E-5,7.625E-5
2500,already_sorted,0.002183583,3.43333E-4,3.55375E-4
2500,shuffled,8.82167E-4,1.99583E-4,2.01E-4
2500,reversed,9.15292E-4,2.02208E-4,1.835E-4
5000,already_sorted,0.003546125,4.15584E-4,5.34209E-4
5000,shuffled,0.001850083,3.97958E-4,3.61875E-4
5000,reversed,0.001566084,3.32792E-4,3.5725E-4
8000,already_sorted,0.005159833,6.67375E-4,8.34292E-4
8000,shuffled,0.002541459,5.21458E-4,5.76958E-4
8000,reversed,0.001895125,5.6025E-4,8.45E-4
10000,already_sorted,0.005338667,8.90083E-4,8.99458E-4
10000,shuffled,0.002766208,6.28209E-4,6.99375E-4
10000,reversed,0.001619875,3.23833E-4,3.98791E-4
12000,already_sorted,0.005620208,0.00104325,0.001055583
12000,shuffled,0.00367125,7.74583E-4,7.07417E-4
12000,reversed,0.001420958,3.82E-4,3.89167E-4
